"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"Validación_Datos"
"04/13/2026 22:51:30:157 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-3","3"
"[run number]","velocidad-inicial","numero_de_carros","aceleracion","posicion-inicial","desaceleracion","[step]","densidad","flujo-promedio"
"188","aleatoria","38","0.0045","aleatoria","0.026","3000","0.7450980392156863","2.0338983050847457"
"189","aleatoria","38","0.0045","aleatoria","0.026","3000","0.7450980392156863","2.016949152542373"
"190","aleatoria","38","0.0045","aleatoria","0.026","3000","0.7450980392156863","1.9152542372881356"
"191","aleatoria","40","0.0045","aleatoria","0.026","3000","0.7843137254901961","1.7457627118644068"
"192","aleatoria","40","0.0045","aleatoria","0.026","3000","0.7843137254901961","1.6271186440677967"
"193","aleatoria","40","0.0045","aleatoria","0.026","3000","0.7843137254901961","1.7627118644067796"
"194","aleatoria","40","0.0045","aleatoria","0.026","3000","0.7843137254901961","1.7457627118644068"
"195","aleatoria","40","0.0045","aleatoria","0.026","3000","0.7843137254901961","1.6779661016949152"
"196","aleatoria","40","0.0045","aleatoria","0.026","3000","0.7843137254901961","1.7966101694915255"
"197","aleatoria","40","0.0045","aleatoria","0.026","3000","0.7843137254901961","1.6779661016949152"
"199","aleatoria","40","0.0045","aleatoria","0.026","3000","0.7843137254901961","1.7118644067796611"
"198","aleatoria","40","0.0045","aleatoria","0.026","3000","0.7843137254901961","1.7627118644067796"
"200","aleatoria","40","0.0045","aleatoria","0.026","3000","0.7843137254901961","1.6610169491525424"
